Account,classification,total_trades,win_rate,total_pnl,avg_pnl,total_usd,pnl_std,ROI
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,0.541501976284585,20075.672949,79.35048596442688,1022433.76,444.8312615720205,0.01963518198870898
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,0.5753694581280788,42292.843076,41.66782569064039,3242893.15,197.32478244556646,0.0130417010736231
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,0.11026615969581749,-56967.825773000004,-216.6077025589354,426110.77999999997,637.8832089043898,-0.1336925242140084
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,0.45962732919254656,30992.181771,192.49802342236023,449446.74,855.1905317713057,0.0689562945122263
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,0.6796875,-467.058896,-1.8244488125,338174.45,145.69659810159024,-0.0013811182246322867
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,0.7254901960784313,-3531.989984,-34.62735278431372,156310.59,245.25655263711178,-0.022595973721294252
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,0.6060606060606061,-1228.907104,-37.23960921212121,39859.44,235.02139299601873,-0.030831017796537026
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,0.302158273381295,-76179.494853,-45.67115998381295,6740754.44,977.9453428300549,-0.011301330664257219
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,0.4956521739130435,14406.384865,125.27291186956522,546525.63,383.3823698671208,0.026359943750487967
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,0.3222297756628144,54685.021109,37.175405240652616,6207226.96,316.8756450071257,0.008809895539730675
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,0.4444444444444444,10591.760255,168.12317865079365,733557.1,1479.0343827877937,0.014438903604095714
